,cast,take,strided_slice,repeat,add,nn.layer_norm,nn.dropout,reshape,transpose,nn.dense,nn.bias_add,nn.batch_matmul,divide,expand_dims,multiply,subtract,nn.softmax,erf,tanh,pass,const
0,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,sequential,0
1,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
2,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,SimplifyExpr,0
3,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
4,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
5,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
6,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
7,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
8,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
9,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
10,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
11,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
12,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
13,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
14,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
15,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
16,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
17,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
18,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
19,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
20,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
21,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
22,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
23,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
24,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
25,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
26,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
27,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
28,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
29,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
30,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
31,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
32,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
33,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
34,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
35,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
36,4,4,2,1,50,25,37,264,228,73,73,24,12,2,38,1,12,12,1,InferType,0
37,4,4,2,1,50,25,37,252,48,73,73,24,12,2,37,1,12,12,1,InferType,0
