,nn.conv2d,nn.batch_norm,nn.relu,nn.max_pool2d,add,nn.adaptive_avg_pool2d,reshape,squeeze,nn.dense,nn.bias_add,pass
0,11,11,9,1,4,1,1,1,1,1.0,InferType
1,11,11,9,1,4,1,1,1,1,1.0,InferType
2,11,11,9,1,4,1,1,1,1,1.0,CanonicalizeCast
3,11,11,9,1,4,1,1,1,1,1.0,InferType
4,11,11,9,1,4,1,1,1,1,1.0,InferType
5,11,11,9,1,4,1,1,1,1,1.0,EliminateCommonSubexpr
6,11,11,9,1,4,1,1,1,1,1.0,InferType
7,11,11,9,1,5,1,1,1,1,,InferType
8,11,11,9,1,5,1,1,1,1,,CanonicalizeOps
9,11,11,9,1,5,1,1,1,1,,InferType
10,11,11,9,1,5,1,1,1,1,,InferType
11,11,11,9,1,5,1,1,1,1,,DefuseOps
12,11,11,9,1,5,1,1,1,1,,InferType
13,11,11,9,1,5,1,1,1,1,,ToGraphNormalForm
14,11,11,9,1,5,1,1,1,1,,InferType
15,11,11,9,1,5,1,1,1,1,,ToGraphNormalForm
16,11,11,9,1,5,1,1,1,1,,sequential
